"Semana epidem. notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"Semana 01";26;-;1;-;-;-;2;2;-;2;3;36
"Semana 02";32;-;-;-;-;-;1;2;-;2;1;38
"Semana 03";23;-;2;1;-;1;4;4;-;1;4;40
"Semana 04";40;-;1;-;-;1;-;-;-;-;2;44
"Semana 05";49;-;-;-;1;2;2;6;1;1;6;68
"Semana 06";46;-;2;-;4;2;3;4;1;1;8;71
"Semana 07";53;-;-;-;1;-;3;4;-;2;6;69
"Semana 08";38;-;-;-;1;1;1;4;-;1;7;53
"Semana 09";33;-;1;-;-;1;2;-;-;1;5;43
"Semana 10";67;-;-;-;2;2;-;3;1;1;9;85
"Semana 11";87;-;-;-;3;-;2;2;1;4;16;115
"Semana 12";93;-;-;2;6;3;4;9;1;2;14;134
"Semana 13";113;-;2;2;7;5;6;10;3;6;11;165
"Semana 14";110;-;1;3;4;2;3;8;2;2;6;141
"Semana 15";85;-;2;-;3;1;3;9;2;2;10;117
"Semana 16";96;-;3;-;3;-;7;16;1;6;8;140
"Semana 17";119;1;4;1;5;5;8;11;3;8;13;178
"Semana 18";98;1;1;5;4;3;9;13;3;4;10;151
"Semana 19";120;1;4;1;3;2;6;13;3;5;9;167
"Semana 20";150;-;3;3;4;4;2;6;4;5;16;197
"Semana 21";152;1;4;3;7;2;5;13;1;9;14;211
"Semana 22";173;2;4;5;12;4;7;16;1;4;22;250
"Semana 23";166;-;-;2;3;3;3;9;3;4;26;219
"Semana 24";108;-;-;-;3;5;3;9;2;4;28;162
"Semana 25";124;-;6;2;5;6;3;6;1;1;21;175
"Semana 26";88;-;-;3;6;1;2;4;2;2;13;121
"Semana 27";40;-;-;3;2;2;1;-;-;-;20;68
"Semana 28";30;-;-;-;-;-;1;2;-;2;11;46
"Semana 29";17;-;2;-;-;1;-;-;1;-;7;28
"Semana 30";14;-;-;-;1;-;4;2;-;1;9;31
"Semana 31";15;-;-;-;-;1;-;-;-;1;7;24
"Semana 32";13;-;-;-;-;-;-;2;1;-;9;25
"Semana 33";13;-;-;1;1;-;-;1;-;1;13;30
"Semana 34";19;-;-;-;-;2;-;-;-;2;11;34
"Semana 35";20;-;-;2;3;1;-;3;1;-;5;35
"Semana 36";16;1;1;1;-;-;1;1;-;-;3;24
"Semana 37";12;-;1;-;-;-;-;2;-;1;2;18
"Semana 38";21;-;1;-;-;-;-;2;-;-;12;36
"Semana 39";19;-;1;-;-;-;-;1;-;-;10;31
"Semana 40";14;-;-;-;-;-;-;-;-;2;4;20
"Semana 41";12;-;-;-;-;-;-;1;-;-;6;19
"Semana 42";19;-;1;-;-;-;-;1;-;-;11;32
"Semana 43";15;-;-;-;-;-;-;-;-;-;8;23
"Semana 44";8;-;1;-;2;-;-;-;-;-;3;14
"Semana 45";16;-;1;-;1;-;1;4;-;-;10;33
"Semana 46";13;-;2;1;-;-;1;2;1;1;12;33
"Semana 47";17;-;1;-;2;-;-;3;-;-;14;37
"Semana 48";13;-;1;-;2;1;-;1;-;-;8;26
"Semana 49";21;-;-;-;-;-;-;3;-;-;8;32
"Semana 50";21;-;-;-;1;1;1;3;-;-;12;39
"Semana 51";28;-;-;1;-;1;-;-;1;1;10;42
"Semana 52";24;-;-;-;1;-;-;1;-;2;11;39
