"Ano 1º Sintoma(s)";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
"2000";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"2001";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;6
"2002";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;5
"2003";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"2004";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"2005";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;6
"2006";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"2007";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"2008";-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"2009";-;-;-;-;1;-;-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"2010";-;-;1;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;1;1;-;2;-;13
"2011";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;5
"2012";-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"2013";23;-;-;-;-;1;-;-;1;1;-;-;7;28;38;50;46;25;34;35;32;21;7;2;2;3;3;3;3;5;3;4;2;1;-;2;-;2;-;-;1;-;1;-;-;2;3;4;2;7;16;26;-;446
"2014";87;148;193;181;205;281;255;225;250;286;326;313;340;333;411;476;591;776;879;849;779;718;599;419;336;258;224;208;143;103;96;53;56;22;20;18;17;13;16;12;14;15;6;13;16;23;22;9;21;19;19;31;29;11752
"2015";61;66;74;120;153;139;176;174;234;245;271;309;343;530;623;697;744;822;596;567;440;434;380;323;204;102;67;79;74;41;37;29;35;23;22;16;22;8;36;34;15;13;18;23;41;37;46;65;86;154;152;136;44;10180
"2016";484;499;604;585;977;1261;1204;1043;1053;1098;1090;989;881;864;844;650;570;519;444;339;263;256;210;148;87;76;63;52;47;21;25;17;27;16;20;15;19;17;25;15;9;26;16;31;14;22;25;27;35;33;31;131;-;17817
"2017";43;36;39;53;88;62;61;47;70;107;117;168;147;150;149;130;150;187;176;184;232;225;202;175;118;111;47;25;28;23;19;25;38;24;25;25;37;24;26;25;28;17;22;26;33;36;28;21;33;41;43;32;-;3978
"2018";74;50;64;41;48;57;56;46;54;51;61;51;60;67;83;68;56;59;99;76;47;55;42;46;47;41;27;31;23;24;25;13;15;20;17;21;19;24;26;28;27;30;35;46;40;39;67;77;76;89;112;110;-;2560
"2019";124;133;162;250;395;488;527;701;732;762;981;1385;1440;1512;1486;1386;1903;1949;1946;2588;3045;3382;2849;2176;1285;879;638;324;244;183;165;122;120;91;72;104;105;101;125;128;127;103;108;136;91;135;116;100;129;139;140;61;-;38373
 
