"Semana epidem. notificação";"Em branco/IGN";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-39";"40-59";"60-64";"65-69";"70-79";"80 e +";"Total"
"Semana 01";-;-;2;3;1;3;18;7;2;-;-;-;36
"Semana 02";-;-;1;-;2;4;18;13;-;-;-;-;38
"Semana 03";-;1;2;2;2;2;15;9;3;2;2;-;40
"Semana 04";-;-;1;2;6;5;16;12;2;-;-;-;44
"Semana 05";-;-;3;3;8;7;28;16;3;-;-;-;68
"Semana 06";-;2;5;2;2;9;27;16;4;2;2;-;71
"Semana 07";-;2;2;4;5;2;30;21;2;1;-;-;69
"Semana 08";-;5;2;-;1;3;23;14;2;-;2;1;53
"Semana 09";-;1;1;5;4;3;14;12;1;2;-;-;43
"Semana 10";-;2;5;3;7;9;42;12;2;2;1;-;85
"Semana 11";-;5;3;10;7;12;38;33;3;2;2;-;115
"Semana 12";-;2;5;10;12;11;48;36;3;3;3;1;134
"Semana 13";-;1;3;8;11;9;81;38;7;4;1;2;165
"Semana 14";-;3;1;6;3;14;54;48;1;5;3;3;141
"Semana 15";-;3;5;4;4;10;34;43;6;4;1;3;117
"Semana 16";-;2;3;6;5;13;64;36;3;1;6;1;140
"Semana 17";-;4;5;7;12;14;70;53;5;4;1;3;178
"Semana 18";-;2;2;9;9;12;49;50;6;6;5;1;151
"Semana 19";1;3;4;6;16;13;61;46;9;6;2;-;167
"Semana 20";-;5;4;11;14;13;80;54;4;4;6;2;197
"Semana 21";-;5;4;11;15;20;85;56;3;6;3;3;211
"Semana 22";-;8;10;9;13;21;97;77;6;4;5;-;250
"Semana 23";-;7;10;11;12;27;69;64;10;4;5;-;219
"Semana 24";-;7;13;11;8;15;56;44;2;-;5;1;162
"Semana 25";-;5;10;11;13;16;53;45;10;6;4;2;175
"Semana 26";-;7;3;11;13;9;43;30;3;-;2;-;121
"Semana 27";-;5;9;6;4;3;21;14;1;1;4;-;68
"Semana 28";-;5;5;2;-;3;11;16;3;-;1;-;46
"Semana 29";-;-;5;3;4;1;9;4;1;-;1;-;28
"Semana 30";-;1;4;4;-;1;11;8;-;-;1;1;31
"Semana 31";-;-;5;4;2;2;7;3;-;-;1;-;24
"Semana 32";-;4;3;3;2;-;7;4;2;-;-;-;25
"Semana 33";-;2;6;8;1;4;3;5;1;-;-;-;30
"Semana 34";-;1;7;4;2;4;12;4;-;-;-;-;34
"Semana 35";-;1;4;1;9;5;10;4;1;-;-;-;35
"Semana 36";-;2;1;2;5;-;6;6;1;1;-;-;24
"Semana 37";-;-;1;2;1;3;7;2;-;1;1;-;18
"Semana 38";-;4;3;9;3;2;6;7;2;-;-;-;36
"Semana 39";-;2;6;4;4;5;2;5;-;1;2;-;31
"Semana 40";-;1;2;2;4;1;6;4;-;-;-;-;20
"Semana 41";-;2;2;4;2;-;4;4;1;-;-;-;19
"Semana 42";-;3;6;3;2;3;10;5;-;-;-;-;32
"Semana 43";-;1;6;3;4;2;4;2;-;-;1;-;23
"Semana 44";-;1;1;1;6;1;1;2;-;1;-;-;14
"Semana 45";-;4;4;2;4;1;11;5;1;-;-;1;33
"Semana 46";-;4;8;1;8;1;8;2;-;1;-;-;33
"Semana 47";-;5;5;6;6;3;7;2;1;2;-;-;37
"Semana 48";-;5;1;2;5;1;7;5;-;-;-;-;26
"Semana 49";-;5;3;-;1;1;13;6;1;-;1;1;32
"Semana 50";-;1;8;4;3;1;16;5;1;-;-;-;39
"Semana 51";-;2;7;1;2;2;21;4;1;-;2;-;42
"Semana 52";-;4;5;3;1;3;15;7;1;-;-;-;39
