Time,0
2016-10-19 19:12:00.000000000,9
2016-10-26 19:19:53.424657536,26
2016-11-02 19:27:46.849315072,16
2016-11-09 19:35:40.273972608,31
2016-11-16 19:43:33.698630144,14
2016-11-23 19:51:27.123287664,22
2016-11-30 19:59:20.547945200,25
2016-12-07 20:07:13.972602736,27
2016-12-14 20:15:07.397260272,35
2016-12-21 20:23:00.821917808,33
2016-12-28 20:30:54.246575344,31
2017-01-04 20:38:47.671232880,131
2017-01-11 20:46:41.095890416,43
2017-01-18 20:54:34.520547952,36
2017-01-25 21:02:27.945205472,39
2017-02-01 21:10:21.369863008,53
2017-02-08 21:18:14.794520544,88
2017-02-15 21:26:08.219178080,62
2017-02-22 21:34:01.643835616,61
2017-03-01 21:41:55.068493152,47
2017-03-08 21:49:48.493150688,70
2017-03-15 21:57:41.917808224,107
2017-03-22 22:05:35.342465760,117
2017-03-29 22:13:28.767123296,168
2017-04-05 22:21:22.191780816,147
2017-04-12 22:29:15.616438352,150
2017-04-19 22:37:09.041095888,149
2017-04-26 22:45:02.465753424,130
2017-05-03 22:52:55.890410960,150
2017-05-10 23:00:49.315068496,187
2017-05-17 23:08:42.739726032,176
2017-05-24 23:16:36.164383568,184
2017-05-31 23:24:29.589041104,232
2017-06-07 23:32:23.013698624,225
2017-06-14 23:40:16.438356160,202
2017-06-21 23:48:09.863013696,175
2017-06-28 23:56:03.287671232,118
2017-07-06 00:03:56.712328768,111
2017-07-13 00:11:50.136986304,47
2017-07-20 00:19:43.561643840,25
2017-07-27 00:27:36.986301376,28
2017-08-03 00:35:30.410958912,23
2017-08-10 00:43:23.835616432,19
2017-08-17 00:51:17.260273968,25
2017-08-24 00:59:10.684931504,38
2017-08-31 01:07:04.109589040,24
2017-09-07 01:14:57.534246576,25
2017-09-14 01:22:50.958904112,25
2017-09-21 01:30:44.383561648,37
2017-09-28 01:38:37.808219184,24
2017-10-05 01:46:31.232876720,26
2017-10-12 01:54:24.657534240,25
2017-10-19 02:02:18.082191776,28
2017-10-26 02:10:11.506849312,17
2017-11-02 02:18:04.931506848,22
2017-11-09 02:25:58.356164384,26
2017-11-16 02:33:51.780821920,33
2017-11-23 02:41:45.205479456,36
2017-11-30 02:49:38.630136992,28
2017-12-07 02:57:32.054794528,21
2017-12-14 03:05:25.479452048,33
2017-12-21 03:13:18.904109584,41
2017-12-28 03:21:12.328767120,43
2018-01-04 03:29:05.753424656,32
2018-01-11 03:36:59.178082192,74
2018-01-18 03:44:52.602739728,50
2018-01-25 03:52:46.027397264,64
2018-02-01 04:00:39.452054800,41
2018-02-08 04:08:32.876712336,49
2018-02-15 04:16:26.301369856,57
2018-02-22 04:24:19.726027392,56
2018-03-01 04:32:13.150684928,46
2018-03-08 04:40:06.575342464,54
2018-03-15 04:48:00.000000000,51
2018-03-22 04:55:53.424657536,61
2018-03-29 05:03:46.849315072,51
2018-04-05 05:11:40.273972608,60
2018-04-12 05:19:33.698630144,67
2018-04-19 05:27:27.123287680,83
2018-04-26 05:35:20.547945200,68
2018-05-03 05:43:13.972602736,56
2018-05-10 05:51:07.397260272,59
2018-05-17 05:59:00.821917808,99
2018-05-24 06:06:54.246575344,76
2018-05-31 06:14:47.671232880,47
2018-06-07 06:22:41.095890416,55
2018-06-14 06:30:34.520547952,42
2018-06-21 06:38:27.945205488,46
2018-06-28 06:46:21.369863008,47
2018-07-05 06:54:14.794520544,41
2018-07-12 07:02:08.219178080,27
2018-07-19 07:10:01.643835616,31
2018-07-26 07:17:55.068493152,23
2018-08-02 07:25:48.493150688,24
2018-08-09 07:33:41.917808224,25
2018-08-16 07:41:35.342465760,13
